      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2020-12-01 16:49:01,      0,       4.33,           0,        nan,        0.00,        0.00,        0.00,       0,      30
2020-12-01 16:49:09,   8066,       4.91,           0,       0.01,     1641.43,        0.00,       14.50,    8066,       0
2020-12-01 16:49:25,   7326,       4.43,           0,       0.01,     1652.98,        0.00,       14.50,    7326,       0
2020-12-01 16:49:51,  15917,       9.69,           0,       0.01,     1643.13,        0.00,       14.51,   15917,       0
2020-12-01 17:34:23,  13085,       9.80,           0,       0.01,     1335.48,        0.00,       14.58,   13085,       0
2020-12-01 17:36:23,    958,       0.82,           0,       0.01,     1165.45,        0.00,       14.39,     958,       0
2020-12-02 00:03:20,    662,       0.91,           0,       0.02,      727.47,        0.00,       14.34,     662,       0
2020-12-02 00:03:36,   5274,       4.43,           0,       0.01,     1191.33,        0.00,       14.59,    5274,       0
2020-12-02 00:03:48,    733,       4.06,           0,       0.03,      180.45,        0.00,        4.87,     733,       8
2020-12-02 00:04:04,   5286,       4.54,           0,       0.01,     1163.55,        0.00,       14.58,    5286,       0
2020-12-02 00:04:29,   5035,       4.08,           0,       0.01,     1235.28,        0.00,       14.55,    5035,       0
